FWD-001 | checkpoint=017 | signal=nominal | relay=clear | bearing=007
FWD-002 | checkpoint=034 | signal=nominal | relay=clear | bearing=014
FWD-003 | checkpoint=051 | signal=nominal | relay=clear | bearing=021
FWD-004 | checkpoint=068 | signal=nominal | relay=clear | bearing=028
FWD-005 | checkpoint=085 | signal=nominal | relay=clear | bearing=035
FWD-006 | checkpoint=102 | signal=nominal | relay=clear | bearing=042
FWD-007 | checkpoint=119 | signal=nominal | relay=clear | bearing=049
FWD-008 | checkpoint=136 | signal=nominal | relay=clear | bearing=056
FWD-009 | checkpoint=153 | signal=nominal | relay=clear | bearing=063
FWD-010 | checkpoint=170 | signal=nominal | relay=clear | bearing=070
FWD-011 | checkpoint=187 | signal=nominal | relay=clear | bearing=077
FWD-012 | checkpoint=204 | signal=nominal | relay=clear | bearing=084
FWD-013 | checkpoint=221 | signal=nominal | relay=clear | bearing=091
FWD-014 | checkpoint=238 | signal=nominal | relay=clear | bearing=098
FWD-015 | checkpoint=255 | signal=nominal | relay=clear | bearing=105
FWD-016 | checkpoint=272 | signal=nominal | relay=clear | bearing=112
FWD-017 | checkpoint=289 | signal=nominal | relay=clear | bearing=119
FWD-018 | checkpoint=306 | signal=nominal | relay=clear | bearing=126
FWD-019 | checkpoint=012 | signal=nominal | relay=clear | bearing=133
FWD-020 | checkpoint=029 | signal=nominal | relay=clear | bearing=140
FWD-021 | checkpoint=046 | signal=nominal | relay=clear | bearing=147
FWD-022 | checkpoint=063 | signal=nominal | relay=clear | bearing=154
FWD-023 | checkpoint=080 | signal=nominal | relay=clear | bearing=161
FWD-024 | checkpoint=097 | signal=nominal | relay=clear | bearing=168
FWD-025 | checkpoint=114 | signal=nominal | relay=clear | bearing=175
FWD-026 | checkpoint=131 | signal=nominal | relay=clear | bearing=182
FWD-027 | checkpoint=148 | signal=nominal | relay=clear | bearing=189
FWD-028 | checkpoint=165 | signal=nominal | relay=clear | bearing=196
FWD-029 | checkpoint=182 | signal=nominal | relay=clear | bearing=203
FWD-030 | checkpoint=199 | signal=nominal | relay=clear | bearing=210
FWD-031 | checkpoint=216 | signal=nominal | relay=clear | bearing=217
FWD-032 | checkpoint=233 | signal=nominal | relay=clear | bearing=224
FWD-033 | checkpoint=250 | signal=nominal | relay=clear | bearing=231
FWD-034 | checkpoint=267 | signal=nominal | relay=clear | bearing=238
FWD-035 | checkpoint=284 | signal=nominal | relay=clear | bearing=245
FWD-036 | checkpoint=301 | signal=nominal | relay=clear | bearing=252
FWD-037 | checkpoint=007 | signal=nominal | relay=clear | bearing=259
FWD-038 | checkpoint=024 | signal=nominal | relay=clear | bearing=266
FWD-039 | checkpoint=041 | signal=nominal | relay=clear | bearing=273
FWD-040 | checkpoint=058 | signal=nominal | relay=clear | bearing=280
FWD-041 | checkpoint=075 | signal=nominal | relay=clear | bearing=287
FWD-042 | checkpoint=092 | signal=nominal | relay=clear | bearing=294
FWD-043 | checkpoint=109 | signal=nominal | relay=clear | bearing=301
FWD-044 | checkpoint=126 | signal=nominal | relay=clear | bearing=308
FWD-045 | checkpoint=143 | signal=nominal | relay=clear | bearing=315
FWD-046 | checkpoint=160 | signal=nominal | relay=clear | bearing=322
FWD-047 | checkpoint=177 | signal=nominal | relay=clear | bearing=329
