REV-240 | checkpoint=terminal | reverse fragment: 7352
REV-239 | checkpoint=159 | signal=nominal | relay=clear | bearing=109
REV-238 | checkpoint=140 | signal=nominal | relay=clear | bearing=098
REV-237 | checkpoint=121 | signal=nominal | relay=clear | bearing=087
REV-236 | checkpoint=102 | signal=nominal | relay=clear | bearing=076
REV-235 | checkpoint=083 | signal=nominal | relay=clear | bearing=065
REV-234 | checkpoint=064 | signal=nominal | relay=clear | bearing=054
REV-233 | checkpoint=045 | signal=nominal | relay=clear | bearing=043
REV-232 | checkpoint=026 | signal=nominal | relay=clear | bearing=032
REV-231 | checkpoint=007 | signal=nominal | relay=clear | bearing=021
REV-230 | checkpoint=301 | signal=nominal | relay=clear | bearing=010
REV-229 | checkpoint=282 | signal=nominal | relay=clear | bearing=359
REV-228 | checkpoint=263 | signal=nominal | relay=clear | bearing=348
REV-227 | checkpoint=244 | signal=nominal | relay=clear | bearing=337
REV-226 | checkpoint=225 | signal=nominal | relay=clear | bearing=326
REV-225 | checkpoint=206 | signal=nominal | relay=clear | bearing=315
REV-224 | checkpoint=187 | signal=nominal | relay=clear | bearing=304
REV-223 | checkpoint=168 | signal=nominal | relay=clear | bearing=293
REV-222 | checkpoint=149 | signal=nominal | relay=clear | bearing=282
REV-221 | checkpoint=130 | signal=nominal | relay=clear | bearing=271
REV-220 | checkpoint=111 | signal=nominal | relay=clear | bearing=260
REV-219 | checkpoint=092 | signal=nominal | relay=clear | bearing=249
REV-218 | checkpoint=073 | signal=nominal | relay=clear | bearing=238
REV-217 | checkpoint=054 | signal=nominal | relay=clear | bearing=227
REV-216 | checkpoint=035 | signal=nominal | relay=clear | bearing=216
REV-215 | checkpoint=016 | signal=nominal | relay=clear | bearing=205
REV-214 | checkpoint=310 | signal=nominal | relay=clear | bearing=194
REV-213 | checkpoint=291 | signal=nominal | relay=clear | bearing=183
REV-212 | checkpoint=272 | signal=nominal | relay=clear | bearing=172
REV-211 | checkpoint=253 | signal=nominal | relay=clear | bearing=161
REV-210 | checkpoint=234 | signal=nominal | relay=clear | bearing=150
REV-209 | checkpoint=215 | signal=nominal | relay=clear | bearing=139
REV-208 | checkpoint=196 | signal=nominal | relay=clear | bearing=128
REV-207 | checkpoint=177 | signal=nominal | relay=clear | bearing=117
REV-206 | checkpoint=158 | signal=nominal | relay=clear | bearing=106
REV-205 | checkpoint=139 | signal=nominal | relay=clear | bearing=095
REV-204 | checkpoint=120 | signal=nominal | relay=clear | bearing=084
REV-203 | checkpoint=101 | signal=nominal | relay=clear | bearing=073
REV-202 | checkpoint=082 | signal=nominal | relay=clear | bearing=062
REV-201 | checkpoint=063 | signal=nominal | relay=clear | bearing=051
REV-200 | checkpoint=044 | signal=nominal | relay=clear | bearing=040
REV-199 | checkpoint=025 | signal=nominal | relay=clear | bearing=029
REV-198 | checkpoint=006 | signal=nominal | relay=clear | bearing=018
REV-197 | checkpoint=300 | signal=nominal | relay=clear | bearing=007
REV-196 | checkpoint=281 | signal=nominal | relay=clear | bearing=356
REV-195 | checkpoint=262 | signal=nominal | relay=clear | bearing=345
REV-194 | checkpoint=243 | signal=nominal | relay=clear | bearing=334
REV-193 | checkpoint=224 | signal=nominal | relay=clear | bearing=323
REV-192 | checkpoint=205 | signal=nominal | relay=clear | bearing=312
REV-191 | checkpoint=186 | signal=nominal | relay=clear | bearing=301
REV-190 | checkpoint=167 | signal=nominal | relay=clear | bearing=290
REV-189 | checkpoint=148 | signal=nominal | relay=clear | bearing=279
REV-188 | checkpoint=129 | signal=nominal | relay=clear | bearing=268
REV-187 | checkpoint=110 | signal=nominal | relay=clear | bearing=257
REV-186 | checkpoint=091 | signal=nominal | relay=clear | bearing=246
REV-185 | checkpoint=072 | signal=nominal | relay=clear | bearing=235
REV-184 | checkpoint=053 | signal=nominal | relay=clear | bearing=224
REV-183 | checkpoint=034 | signal=nominal | relay=clear | bearing=213
REV-182 | checkpoint=015 | signal=nominal | relay=clear | bearing=202
REV-181 | checkpoint=309 | signal=nominal | relay=clear | bearing=191
REV-180 | checkpoint=290 | signal=nominal | relay=clear | bearing=180
REV-179 | checkpoint=271 | signal=nominal | relay=clear | bearing=169
REV-178 | checkpoint=252 | signal=nominal | relay=clear | bearing=158
REV-177 | checkpoint=233 | signal=nominal | relay=clear | bearing=147
REV-176 | checkpoint=214 | signal=nominal | relay=clear | bearing=136
REV-175 | checkpoint=195 | signal=nominal | relay=clear | bearing=125
REV-174 | checkpoint=176 | signal=nominal | relay=clear | bearing=114
REV-173 | checkpoint=157 | signal=nominal | relay=clear | bearing=103
REV-172 | checkpoint=138 | signal=nominal | relay=clear | bearing=092
REV-171 | checkpoint=119 | signal=nominal | relay=clear | bearing=081
REV-170 | checkpoint=100 | signal=nominal | relay=clear | bearing=070
REV-169 | checkpoint=081 | signal=nominal | relay=clear | bearing=059
REV-168 | checkpoint=062 | signal=nominal | relay=clear | bearing=048
REV-167 | checkpoint=043 | signal=nominal | relay=clear | bearing=037
REV-166 | checkpoint=024 | signal=nominal | relay=clear | bearing=026
REV-165 | checkpoint=005 | signal=nominal | relay=clear | bearing=015
REV-164 | checkpoint=299 | signal=nominal | relay=clear | bearing=004
REV-163 | checkpoint=280 | signal=nominal | relay=clear | bearing=353
REV-162 | checkpoint=261 | signal=nominal | relay=clear | bearing=342
REV-161 | checkpoint=242 | signal=nominal | relay=clear | bearing=331
REV-160 | checkpoint=223 | signal=nominal | relay=clear | bearing=320
REV-159 | checkpoint=204 | signal=nominal | relay=clear | bearing=309
REV-158 | checkpoint=185 | signal=nominal | relay=clear | bearing=298
REV-157 | checkpoint=166 | signal=nominal | relay=clear | bearing=287
REV-156 | checkpoint=147 | signal=nominal | relay=clear | bearing=276
REV-155 | checkpoint=128 | signal=nominal | relay=clear | bearing=265
REV-154 | checkpoint=109 | signal=nominal | relay=clear | bearing=254
REV-153 | checkpoint=090 | signal=nominal | relay=clear | bearing=243
REV-152 | checkpoint=071 | signal=nominal | relay=clear | bearing=232
REV-151 | checkpoint=052 | signal=nominal | relay=clear | bearing=221
REV-150 | checkpoint=033 | signal=nominal | relay=clear | bearing=210
REV-149 | checkpoint=014 | signal=nominal | relay=clear | bearing=199
REV-148 | checkpoint=308 | signal=nominal | relay=clear | bearing=188
REV-147 | checkpoint=289 | signal=nominal | relay=clear | bearing=177
REV-146 | checkpoint=270 | signal=nominal | relay=clear | bearing=166
REV-145 | checkpoint=251 | signal=nominal | relay=clear | bearing=155
REV-144 | checkpoint=232 | signal=nominal | relay=clear | bearing=144
REV-143 | checkpoint=213 | signal=nominal | relay=clear | bearing=133
REV-142 | checkpoint=194 | signal=nominal | relay=clear | bearing=122
REV-141 | checkpoint=175 | signal=nominal | relay=clear | bearing=111
REV-140 | checkpoint=156 | signal=nominal | relay=clear | bearing=100
REV-139 | checkpoint=137 | signal=nominal | relay=clear | bearing=089
REV-138 | checkpoint=118 | signal=nominal | relay=clear | bearing=078
REV-137 | checkpoint=099 | signal=nominal | relay=clear | bearing=067
REV-136 | checkpoint=080 | signal=nominal | relay=clear | bearing=056
REV-135 | checkpoint=061 | signal=nominal | relay=clear | bearing=045
REV-134 | checkpoint=042 | signal=nominal | relay=clear | bearing=034
REV-133 | checkpoint=023 | signal=nominal | relay=clear | bearing=023
REV-132 | checkpoint=004 | signal=nominal | relay=clear | bearing=012
REV-131 | checkpoint=298 | signal=nominal | relay=clear | bearing=001
REV-130 | checkpoint=279 | signal=nominal | relay=clear | bearing=350
REV-129 | checkpoint=260 | signal=nominal | relay=clear | bearing=339
REV-128 | checkpoint=241 | signal=nominal | relay=clear | bearing=328
REV-127 | checkpoint=222 | signal=nominal | relay=clear | bearing=317
REV-126 | checkpoint=203 | signal=nominal | relay=clear | bearing=306
REV-125 | checkpoint=184 | signal=nominal | relay=clear | bearing=295
REV-124 | checkpoint=165 | signal=nominal | relay=clear | bearing=284
REV-123 | checkpoint=146 | signal=nominal | relay=clear | bearing=273
REV-122 | checkpoint=127 | signal=nominal | relay=clear | bearing=262
REV-121 | checkpoint=108 | signal=nominal | relay=clear | bearing=251
REV-120 | checkpoint=089 | signal=nominal | relay=clear | bearing=240
REV-119 | checkpoint=070 | signal=nominal | relay=clear | bearing=229
REV-118 | checkpoint=051 | signal=nominal | relay=clear | bearing=218
REV-117 | checkpoint=032 | signal=nominal | relay=clear | bearing=207
REV-116 | checkpoint=013 | signal=nominal | relay=clear | bearing=196
REV-115 | checkpoint=307 | signal=nominal | relay=clear | bearing=185
REV-114 | checkpoint=288 | signal=nominal | relay=clear | bearing=174
